uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AL,4,80,9,13,20,39,172.25,347.10000000000014,556.2499999999998,839.5249999999971
AL,5,72,8,12,19,37,155.25,315,521,818.0499999999997
AL,6,70,7,10,16,33,146,302.10000000000014,565,911.5999999999967
AL,7,64,6,10,16,33,136,276,436.39999999999964,657.2749999999985
AL,8,59,6,10,14,28,122,252.40000000000055,441.2999999999997,694.2499999999986
AL,9,54,5,8,13,26,113,222.10000000000014,367.04999999999995,594.0749999999996
AL,10,53,5,8,12,25,112,220.10000000000014,349.39999999999964,622.174999999999
AL,11,51,5,8,12,25,108.25,210.10000000000014,339.0999999999999,600.1249999999993
AL,12,51,6,8,12,24.75,104.25,217.10000000000014,360.3499999999997,556.7999999999956
AL,13,54,5.975000000000001,8,13,25,113,227,356,527.0999999999995
AL,14,55,5.975000000000001,8,14,26,113,246,401.0999999999999,667.6499999999965
AL,15,60,6,8,13,28,116,240,395.0999999999999,625.1249999999993
AL,16,63,6,9,14,30,130,258.10000000000014,413.04999999999995,707.4499999999975
AL,17,71,7,10,15,33,141,286,465.14999999999986,760.0249999999999
AL,18,73,7,11,18,35,149.25,286.2000000000003,449.2999999999997,808.1499999999992
AL,19,76,8,11,18,37,157,316.2000000000003,524.4499999999996,845.374999999998
AL,20,88,8,13,21,43,173.25,360,581.05,787.2499999999986
AL,21,93,10,15,23,48,199,392.2000000000003,616.0999999999999,913.724999999996
AL,22,104,11,15,23,49,217,416,695.2499999999998,1062.4249999999977
AL,23,112,13,18,27,54,232,450.10000000000014,734.2999999999997,1141.0499999999888
AL,24,119,14,19,30,60,240,492.10000000000014,825.0999999999999,1339.0999999999995
AL,25,130,14,20,30,63,266.25,529.4000000000005,908.5499999999995,1431.0749999999996
AL,26,140,14,22,33,65,291,546,970.3499999999997,1673.2249999999988
AL,27,146,14,24,38,75,306,632.1000000000001,1028.3499999999997,1533.3249999999982
AL,28,160,17,24,39.900000000000006,80,342,665.2000000000003,1035.3499999999997,1696.374999999998
AL,29,178,20,29,45.900000000000006,83,367.25,744,1196,1929.5999999999913
AL,30,198.5,19,30,47,90,394,846.2000000000003,1346.2499999999989,2061.4749999999976
AL,31,217,21,34,48,96,439,880.1000000000001,1411.3999999999996,2339.524999999997
AL,32,221.5,24.975,36,57,113,476.25,996.4000000000005,1553.099999999999,2630.4249999999975
AL,33,229.5,25,40,62,116,473,995.5000000000007,1571.6499999999994,2308.324999999998
AL,34,248.5,25,37,62,123,509.25,1028.1000000000001,1805.149999999999,2939.849999999995
AL,35,262,28.975,40.95,64,128,545,1037.3000000000004,1787.1999999999998,2598.349999999993
AL,36,270,28,41.95,67,136,535,1022.4000000000005,1659.2499999999998,2886.0499999999997
AL,37,279,31,45,65,132.75,533,1209.5000000000007,1920.05,3155.624999999991
AL,38,281,30,41,66.9,132,573.25,1222.2000000000003,1996.1999999999998,3253.449999999992
AL,39,276.5,31,46.95,68.9,139,553,1131.4000000000005,1796.3499999999997,2488.0499999999997
AL,40,278.5,27,43.95,69.9,132,567,1097.700000000001,1987.149999999999,2979.499999999992
AL,41,271,29,42,66.9,135.75,541.5,1143.6000000000008,1794.2499999999998,2708.599999999986
AL,42,251,27,41,62,120.75,513.25,1012.2000000000003,1677.3499999999988,2703.9249999999947
AL,43,224,26,37,55,112,478.25,1034.2000000000003,1662.3999999999996,2548.0249999999996
AL,44,223,21,32,51,103.75,448.25,923,1393.4499999999996,2225.649999999997
AL,45,193,22,32,48,94,411.25,801.2000000000003,1294.6999999999994,2153.075
AL,46,184,19.975,29,45,86,382.25,779.1000000000001,1206.8999999999992,1907.2249999999988
AL,47,163,17.975,26,41,77,339,689.8000000000011,1120.8999999999992,1834.7749999999958
AL,48,148,17,23,36,75,299.25,615.1000000000001,981.2499999999998,1436.174999999999
AL,49,140,15,21.950000000000003,33,66,280,553.3000000000004,890,1355.4499999999975
AL,50,124,14,20,31.900000000000006,63,260,545,903.0999999999999,1347.9749999999947
AL,51,118,14,20,30,57,253,520,773.3999999999996,1109.4249999999977
AL,52,109,11,18.950000000000003,27,55,224,461.3000000000004,727,1099.6499999999965
AL,53,102,12,17,27,52,211,421.2000000000003,669.0999999999999,1113
AM,1,61,12,16,22,36,102,172,255.0999999999999,315.02499999999986
AM,2,59,13,17,22,34,100,164,258.0999999999999,376.1249999999993
AM,3,61,13,17,23,38,102,187.10000000000014,265,353.17499999999905
AM,4,62,13,17,23,36,103,175,239.0999999999999,337.2249999999988
AM,5,64.5,15,19,26,39,106,185,257.04999999999995,387.1249999999993
AM,6,68,16.975,21,26,42,114,201,279.1999999999998,408.0749999999996
AM,7,72,16,21,29.900000000000006,45,123,207.10000000000014,288,379
AM,8,78,18,23,31,48,126.25,203.10000000000014,291,414.1249999999993
AM,9,83,18,24,31.900000000000006,51,137,228,326.0999999999999,451.02499999999986
AM,10,89,21,27,35,54,144,227.10000000000014,321.04999999999995,441.1249999999993
AM,11,95,24,31,40,59,156.25,257.10000000000014,362.2999999999997,541.0249999999999
AM,12,102,25.975,33,43,63,166,280,382,533.0749999999996
AM,13,105,24,31.950000000000003,42.900000000000006,65,170,276,379.04999999999995,495.0749999999996
AM,14,115,28,35,48,71.75,187,297,400,553.0499999999997
AM,15,127,32,40,52,80,210,331,452.04999999999995,691.0249999999999
AM,16,137,35.975,44,57,87,222.25,361,494.0999999999999,664.0499999999997
AM,17,142,40,49,63,92,228,370.10000000000014,519.05,712.174999999999
AM,18,156,37.975,49,66,98,246,398.10000000000014,538.3999999999996,702.6999999999962
AM,19,162,41.975,51,66,100,259,411,534.0999999999999,716.2499999999986
AM,20,163,41,53,67,107,275.25,430.10000000000014,565.05,763.2499999999986
AM,21,167,43.975,54,69,107.75,270,414.10000000000014,586.05,796.0749999999996
AM,22,164.5,42.95,53.95,71,107,264.25,441.10000000000014,604.05,792.5249999999971
AM,23,161,41,54,67.9,100,258,410.10000000000014,554.05,791.4249999999977
AM,24,152,38,48,62,92,254,423.2000000000003,570,777.0999999999995
AM,25,149,36,46,59.900000000000006,94,248,397.6000000000008,580,762.5249999999971
AM,26,146,38,46,62,92,231,365.3000000000004,510.0999999999999,722.3249999999982
AM,27,137,35.975,42,55.900000000000006,85,222,347,475.2999999999997,683.4999999999973
AM,28,131.5,34,42,56,82,207.25,330.3000000000004,437.0999999999999,607.0249999999999
AM,29,124,31,40,50.900000000000006,79.75,197.25,306.2000000000003,418.0999999999999,587.0499999999997
AM,30,115,31,37,47,70,184.25,293.10000000000014,414.0999999999999,571.174999999999
AM,31,104,27.975,33,43,65,166,260,354,493.02499999999986
AM,32,95,24,29,39,61,157.25,257.10000000000014,339.14999999999986,450.1499999999992
AM,33,90.5,19,25.950000000000003,34,56,146,229,303.04999999999995,412.02499999999986
AM,34,84,20,25,33,50,137,222,289,367.02499999999986
AM,35,77,18,22,30,47,126.25,194.10000000000014,276.14999999999986,361.17499999999905
AM,36,71,16,20.950000000000003,27.900000000000006,43,118,191,254,330
AM,37,66,14,19,25,40,108,170,235.04999999999995,304.2749999999985
AM,38,63,15,19,24,38,105,169,220.0999999999999,277.17499999999905
AM,39,60,13,17,23,36,96,155,216,302.37499999999795
AM,40,57,12,16,23,35.75,95,153.10000000000014,207.0999999999999,287.02499999999986
AM,41,55,12,16,22,33,90,140.10000000000014,197.19999999999982,293.0499999999997
AM,42,54,12,15,20,31.75,86,139.10000000000014,186,244.09999999999945
AM,43,52,12,15,20,32,86,133.20000000000027,181.24999999999977,240.0749999999996
AM,44,49,11,14,19,30,82,139,188,245.0749999999996
AM,45,50,10.975000000000001,14,18,30,80,133.10000000000014,194.0999999999999,279.0749999999996
AM,46,49,11,14,19,30,80,135.10000000000014,186,282.02499999999986
AM,47,50.5,10,13,17,30,87,138,187,252.02499999999986
AM,48,51,11,14,19,30.75,85,140,191.0999999999999,256.02499999999986
AM,49,53,12,15,20,32.75,89,153.10000000000014,216.24999999999977,310
AM,50,55,10.975000000000001,14,19,33,92,159,224,326.02499999999986
AM,51,59,11.975000000000001,15,21,34,101,170.10000000000014,249.14999999999986,337.09999999999945
AM,52,58,12,15.950000000000003,21,34,100,175,267,392
AM,53,60,12,16,21,35,105,182.10000000000014,250.14999999999986,342.02499999999986
AP,1,9,0,0,1,3,26,74,126.04999999999995,258.1499999999992
AP,2,9,0,0,1,3,25,71,124.04999999999995,237
AP,3,8,0,0,1,2,23,58.100000000000136,118,226.02499999999986
AP,4,7,0,0,0,2,21,57,113.04999999999995,184.0749999999996
AP,5,6,0,0,0,2,18,49.100000000000136,93.04999999999995,170.02499999999986
AP,6,6,0,0,0,2,17,45.100000000000136,85,144
AP,7,5,0,0,0,2,16,41,80,121.02499999999986
AP,8,5,0,0,0,1,14,41,70.04999999999995,124.02499999999986
AP,9,5,0,0,0,1,15,40,76,124.02499999999986
AP,10,5,0,0,0,2,15,38.100000000000136,79,133.04999999999973
AP,11,6,0,0,0,2,17,44,82,131
AP,12,7,0,0,0,2,20,54,117,211
AP,13,7,0,0,0,2,21,56,101,183.04999999999973
AP,14,9,0,0,1,3,25,64.20000000000027,133,234.02499999999986
AP,15,12,0,0,1,4,33,90.20000000000027,173.14999999999986,316.02499999999986
AP,16,14,0,0,1,4,39,104,195.0999999999999,365
AP,17,16,0,1,2,5,45,126.10000000000014,237,415.0749999999996
AP,18,18,0,1,2,6,54,144.10000000000014,287.14999999999986,451.02499999999986
AP,19,20,0,1,2,7,57,159.10000000000014,308.04999999999995,521.7499999999959
AP,20,22,0,1,2,7,62,161,304.2499999999998,584.5749999999969
AP,21,21,0,1,2,7,64,170.10000000000014,319.0999999999999,572.0999999999995
AP,22,23,0,1,2,8,69,183,344,614.2249999999988
AP,23,23,0,1,2,8,63.25,168.20000000000027,325.0999999999999,506.1999999999989
AP,24,22,0,1,2,7,62,156.10000000000014,302.14999999999986,534.3249999999982
AP,25,20,0,1,2,6,59,159.20000000000027,284.04999999999995,455.2749999999985
AP,26,19,0,1,2,7,55,148.10000000000014,281.04999999999995,544.0749999999996
AP,27,18,0,1,2,6,53,145.10000000000014,257,411.0749999999996
AP,28,17.5,0,1,2,6,47,118,231.34999999999968,382.0499999999997
AP,29,15,0,1,1,5,44,115,211.04999999999995,405.0749999999996
AP,30,14,0,0,1,5,39,104,194.04999999999995,351
AP,31,13,0,0,1,5,37,101.20000000000027,178,290
AP,32,12,0,0,1,4,34.25,95,178.04999999999995,305.44999999999754
AP,33,11,0,0,1,3,30,89,164.0999999999999,276.0749999999996
AP,34,10,0,0,1,3,29,74,139.04999999999995,280.0749999999996
AP,35,9,0,0,1,3,27,68,135.04999999999995,256.09999999999945
AP,36,9,0,0,1,3,26.25,67,110.04999999999995,210.09999999999945
AP,37,9,0,0,1,3,26.25,65,133.14999999999986,207
AP,38,9,0,0,1,3,24,61,121.09999999999991,217.09999999999945
AP,39,8,0,0,1,3,24,66,128,190.0749999999996
AP,40,9,0,0,1,3,26,68,124,214
AP,41,10,0,0,1,3,27.25,69.10000000000014,125,224.09999999999945
AP,42,9,0,0,1,3,26,72.10000000000014,137.14999999999986,228.04999999999973
AP,43,10,0,0,1,3,29,75.10000000000014,148,261.0749999999996
AP,44,10,0,0,1,3,30,81,153.04999999999995,260.1499999999992
AP,45,11,0,0,1,4,33,91,149.04999999999995,259.02499999999986
AP,46,12,0,0,1,4,34,93,163.04999999999995,301.1999999999989
AP,47,13,0,0,1,4,35.25,93,172.04999999999995,315.0499999999997
AP,48,12,0,0,1,4,35,89,165.14999999999986,313.3249999999982
AP,49,12,0,0,1,4,35.25,87,185.04999999999995,306.1999999999989
AP,50,12,0,0,1,4,33,87,159.0999999999999,307
AP,51,11,0,0,1,4,32.25,83.10000000000014,157.04999999999995,271.09999999999945
AP,52,11,0,0,1,3,30,81,140.04999999999995,259.02499999999986
AP,53,11,0,0,1,3,29.25,75.10000000000014,145,267.2249999999988
BA,1,290,97,112,136.9,200.75,484,769,1070.6999999999994,1621.2749999999985
BA,2,301.5,96,113,141,207,477,756.3000000000004,1060.05,1490.3999999999978
BA,3,299,92.975,108,134,193,464.25,741.1000000000001,1031.5499999999995,1415.1499999999992
BA,4,310,95.975,118.95,143,202,481.25,744.2000000000003,1053.4999999999995,1426.2749999999985
BA,5,306,103.95,120,146,206,481,781,1094.1999999999998,1590.0999999999995
BA,6,323,99.975,119.95,151,209.75,496,783.4000000000005,1132.1499999999999,1564.0749999999996
BA,7,329,110.97500000000001,129,158,223,508,819.1000000000001,1147.4499999999987,1511.0249999999999
BA,8,339,107,132,157,225,539,821,1179.05,1604.724999999996
BA,9,361.5,113.95,138,171,242,556,855.3000000000004,1247.5999999999995,1851.0999999999995
BA,10,368.5,115.975,142,171.9,242.75,571,881,1264.3999999999996,1701.1749999999936
BA,11,392,121.975,149.95,187,263,616,1016.5000000000007,1446.8499999999992,2030.2999999999984
BA,12,435.5,145.95,174,210,291,669.5,1043.2000000000003,1487.8999999999992,2027.2999999999984
BA,13,442,141,169.95,201,283,669,1064.5000000000007,1462.2499999999998,1955.1499999999992
BA,14,505,162.97500000000002,198,243,339,769,1229.2000000000003,1656.5499999999995,2214.6749999999856
BA,15,589,193.975,236.95,286,406,904.25,1490.2000000000003,2117.1499999999996,3054.2999999999984
BA,16,696,240.975,285,330.90000000000003,471.75,1058,1640.3000000000004,2324.3999999999987,3358.1999999999935
BA,17,824,298.975,348,423.9,581.75,1252.25,1941.5000000000007,2692.2999999999997,3685.624999999991
BA,18,988.5,345.97499999999997,402.95000000000005,481,658,1491.25,2336.3,3202.1,4375.2249999999985
BA,19,1142,416,486.95000000000005,580.9,805,1816.5,2852.4000000000005,3963.199999999999,5073.949999999995
BA,20,1333.5,449.97499999999997,532.9,661.9000000000001,902,2018.25,3113.3,4214.999999999999,6265.449999999986
BA,21,1488,509.95000000000005,595.9499999999999,713.9,1022,2284,3588.600000000001,5001.15,7233.249999999999
BA,22,1697,580.825,671.95,815,1162.75,2544,4072.700000000005,5475.45,8000.025
BA,23,1777,642.775,736,883,1227.75,2737.25,4374.900000000002,6070.8499999999985,8330.374999999987
BA,24,1885.5,640.975,770.95,937.4,1279.5,2896.25,4668.100000000002,6633.599999999998,8796.624999999975
BA,25,1971,636.975,752.95,956,1326,2953,4712.4000000000005,7631.899999999992,10128.224999999999
BA,26,2005,680.8,817.85,989,1358.75,3019.5,4794,6810.149999999999,9208.05
BA,27,2049.5,670.975,816.9000000000001,1034.7,1390.5,3075.5,4648.1,6459.5499999999975,9001.949999999995
BA,28,2049,682.925,818.9,1026,1370.5,3071.25,4764.6,6544.249999999999,8669.849999999986
BA,29,1994,684.825,811.85,1006.8000000000001,1399.5,3050.75,4727.500000000003,6461.449999999999,9283.724999999991
BA,30,1935.5,672.975,809.85,991.8,1350.5,2940.5,4790.1,6861.65,9250.74999999998
BA,31,1920,638.85,769.9499999999999,936.8,1304.5,2932,4569.300000000006,5903.35,8610.77499999999
BA,32,1796.5,626.9499999999999,728.95,895.9,1223.75,2661.25,4049.7000000000007,5706.799999999998,7975.374999999998
BA,33,1649.5,574.975,650.95,796.9,1111,2522,3950.2000000000044,5592.699999999999,7814.799999999974
BA,34,1514.5,561,643.6999999999999,768.9,1036.75,2324.25,3725.4000000000005,5135.0499999999975,6978.049999999995
BA,35,1373,467.97499999999997,579.8,683,964,2060,3232.3,4431.45,5820.374999999998
BA,36,1216,439,522.95,621.8000000000001,835.5,1812.75,2825.7000000000007,3894.899999999999,5676.79999999999
BA,37,1094,374,448.9,536,750,1651,2579.500000000001,3598.749999999999,4994.05
BA,38,981.5,326.97499999999997,396,467,659,1482.5,2264.1000000000004,3250.749999999999,4512.124999999999
BA,39,861,281,343.95,432.9,597.75,1310,2078.7000000000007,2806.2999999999997,3788.499999999992
BA,40,753,264.975,315,380.9,522.5,1179,1870.9000000000012,2597.3499999999995,3371.024999999989
BA,41,682,217.95,270.90000000000003,332.9,464,1083.25,1661.2000000000003,2303.1000000000004,3239.1499999999987
BA,42,625,204.975,238.95000000000002,299.9,417,970,1532.700000000001,2133.6499999999996,2969.099999999994
BA,43,563,177.975,220,269,373,860.25,1393.6000000000008,1865.6499999999994,2462.2749999999933
BA,44,512,154,186,233,337,780.5,1215.4000000000005,1771,2479.3499999999976
BA,45,469,141.97500000000002,176,213.9,305.75,715.5,1162.6000000000008,1617.7999999999993,2284.075
BA,46,426.5,125.95,161,197,289,669,1031.3000000000004,1490.3999999999996,2124.2499999999986
BA,47,391.5,121,147.9,184,262,601.25,987.6000000000008,1391.1499999999999,2068.399999999998
BA,48,364.5,116.975,136,167,244,572,941.1000000000001,1245.1499999999999,1672.3999999999978
BA,49,342,107.975,127.95,161,229,542.5,851.3000000000004,1211.5999999999995,1703.099999999994
BA,50,321,103,123.95,156,218,516,797.1000000000001,1102.05,1585.2749999999985
BA,51,309,93.975,115.95,145,212,492,786.1000000000001,1096.1,1599.5749999999969
BA,52,308,96,110.95,140,205,483,756,1043.05,1490.0499999999943
BA,53,310,96,114,140,198,477.25,752.3000000000004,1046.1,1520
CE,1,125,36.975,44,54,81,195,310.10000000000014,418.14999999999986,574.0249999999999
CE,2,116,34,42,51,76,187,292,397,515.0249999999999
CE,3,111,32.975,40,51,73,176,279.10000000000014,385,531.0749999999996
CE,4,112,31,38,49,74,179,297.10000000000014,400.14999999999986,544.1999999999989
CE,5,110,29,37,47,70,180,286,401.04999999999995,533.0499999999997
CE,6,109,29,37.95,48,70,170,266,368,512
CE,7,107,28,36,47,69,172.25,273.10000000000014,386.04999999999995,484.02499999999986
CE,8,100,29,35,44,66.75,162,263,367.04999999999995,489.09999999999945
CE,9,97,26,33,42,64,153,258,356,478.17499999999905
CE,10,93,26,31,40,60,149,238,323,422.24999999999864
CE,11,91,26,32,39,58,148.25,236,303.0999999999999,419
CE,12,95,28,33,42,59,149,243.10000000000014,333.04999999999995,456.0749999999996
CE,13,95,26,33,42,61,149,233,330,445.0749999999996
CE,14,102,30,36,44,66,160.25,252.20000000000027,350.14999999999986,457.1249999999993
CE,15,118,36,43,53,77,186.25,294.10000000000014,405,539.174999999999
CE,16,142,40,50,66,91,227,359.2000000000003,481.0999999999999,655.0499999999997
CE,17,179,52,62,81,114,270,415,575,819.2999999999984
CE,18,210.5,61.975,78,96,139,325,503.2000000000003,687,967.0499999999997
CE,19,258,74,91,115,168.75,398,605.2000000000003,789.2999999999997,992.0749999999996
CE,20,301,90.97500000000001,115,142,202.75,469,722,971.0999999999999,1298.0249999999999
CE,21,356.5,114,132,169,241,549,841.8000000000011,1168.6999999999994,1473.9999999999945
CE,22,416.5,132,161.95,197,274,640.5,1006.4000000000005,1321.1499999999999,1788.0249999999999
CE,23,480,144.975,174.95000000000002,214,316.75,725.25,1139.1000000000001,1552.1999999999998,1897.0249999999999
CE,24,544,161.975,196,245,360,844,1256,1638.05,2282.2749999999987
CE,25,620,184.9,226,278,408,967.75,1449.1000000000001,1914.5999999999995,2675.5249999999915
CE,26,672.5,209.92499999999998,260,317.9,448,1068.25,1629.700000000001,2165.2999999999993,2688.0499999999997
CE,27,767,243.95,284,355.9,494,1170.25,1802.800000000001,2314.3499999999985,2845.025
CE,28,815.5,239,301.95000000000005,376.9,552,1284.25,1965.800000000001,2696.05,3658.5749999999916
CE,29,874,283,341.75000000000006,414.90000000000003,595,1350,2136.300000000002,2904.199999999999,3790.374999999998
CE,30,919,311.975,355.95,446.90000000000003,634,1417,2170.2000000000003,2854.05,3669.075
CE,31,950.5,287.95,341,418.90000000000003,616,1460.5,2226,2935.45,3939.674999999996
CE,32,952,298,352,428.79999999999995,625.5,1469.25,2184.400000000002,2897.2499999999995,3854.2499999999986
CE,33,931,291.97499999999997,347,429.9,609.75,1406.5,2132.3,2851.5999999999995,3746.399999999998
CE,34,889,283,343.95,416.7,600,1353,2092.7000000000007,2818.6499999999996,4006.549999999997
CE,35,834,252,310,395,568,1261,1972.2000000000003,2621.1499999999996,3751.2749999999983
CE,36,787.5,246.95000000000002,296,373.9,530.75,1194.25,1806.2000000000003,2434.2,3242.474999999992
CE,37,734.5,231.975,269.90000000000003,342,486.5,1100.5,1647.4000000000005,2277.2499999999995,3094.5999999999913
CE,38,668,200.95,249.95,314,439,1034,1645,2190.05,3026.6249999999964
CE,39,621,195.875,234.95000000000002,285.9,408.75,944,1455.1000000000001,1982.1499999999999,2608.124999999999
CE,40,552.5,181.925,212.95,256.8,375.75,876,1348.2000000000003,1828.1,2527.5999999999967
CE,41,524,157.97500000000002,196.95,236.9,355,807.25,1263.3000000000004,1636.1999999999998,2069.8499999999954
CE,42,474.5,143.975,169,217,317,745.25,1098.6000000000008,1516.05,2004.199999999999
CE,43,421.5,129.975,155.95,197,290,649.25,1026.1000000000001,1378.1,1821.174999999999
CE,44,388,120,146.95000000000002,177.9,254,594,914.1000000000001,1249.2999999999997,1753.4749999999974
CE,45,347.5,103,128,157,232,547.25,844.2000000000003,1146.05,1524.6249999999966
CE,46,314,91.975,110,140,200,483,779.1000000000001,1045,1385.0249999999999
CE,47,278,87,103.95,128,183.75,435,648,902,1202.2499999999986
CE,48,244,70,88,109.9,164,376.25,584.1000000000001,829.1999999999998,1073.1249999999993
CE,49,212,61.975,75.95,95,135.75,331.25,495,713.1499999999999,970.2499999999986
CE,50,186,53,66,83,122,284,463.3000000000004,624,842.1999999999989
CE,51,165.5,46,57.95,74,108,261.25,391.10000000000014,533.0999999999999,695.5249999999971
CE,52,145,44,53,65,93,228,361,498.1999999999998,639.4499999999975
CE,53,135,39.975,46,58,86,211,335.10000000000014,440.0999999999999,590.0499999999997
DF,1,98,5,8,14,37,266,672.4000000000005,1241.5999999999995,2184.6749999999965
DF,2,97,4,7,13,35,279.25,649.3000000000004,1127.1999999999998,1863.1499999999992
DF,3,108,5,8.950000000000003,14,37.75,282,696.4000000000005,1300.8499999999983,1973.374999999998
DF,4,105,5.975000000000001,8,15,38,310,698.2000000000003,1224.1999999999998,2052.6749999999965
DF,5,117,5.975000000000001,8,16,40,317,849.1000000000001,1469.4499999999996,2246.2499999999986
DF,6,121.5,5,9.950000000000003,19,46,341,839.700000000001,1460.9499999999991,2523.3499999999976
DF,7,137,6,11,19,48,375,929.3000000000004,1804.7999999999993,2926.0499999999997
DF,8,157.5,7,12,21,56,417.5,1056.700000000001,1762.3999999999996,2856.6499999999965
DF,9,174,8,15,27,65,474.25,1190.2000000000003,2238.6999999999994,3811.2999999999984
DF,10,194,8,15,27,72,531.5,1291.3000000000004,2252.0499999999993,3742.2999999999984
DF,11,232.5,11,18,31.900000000000006,88,609,1436.400000000002,2412.349999999999,4261.199999999993
DF,12,249.5,12,21,37,92,706,1792.6000000000008,3067.6499999999974,5769.649999999985
DF,13,260,13,23,38.900000000000006,94,709,1748,3234.05,5976.174999999972
DF,14,328.5,17,30,49,123,878.25,2197.7000000000025,3424.0499999999993,6330.474999999987
DF,15,384.5,17,29.950000000000003,55,140,1022.5,2585.9000000000024,4845.25,8091.374999999987
DF,16,447.5,23.975,37.95,70.9,181.75,1208,3024.4000000000005,5432.65,9012.899999999967
DF,17,540,27,45,72,195,1496.5,3447.2000000000044,5966.049999999998,10892.349999999982
DF,18,596,31,57,98,218.75,1734.5,4322.500000000006,7455.0999999999995,11836.349999999977
DF,19,692.5,31.975,51.95,99,250,1959.25,4907.200000000012,8538.449999999999,14693.924999999994
DF,20,754,36,63.95,116,285,1916.25,4883.300000000001,8411.249999999995,15274.949999999995
DF,21,833.5,41.95,70.95,121.9,319,2212.75,5342.400000000003,9727.949999999997,16071.549999999897
